"","fips","month","av_tem"
"675","1129",5,61.1166666666667
"676","1129",6,71.8566666666667
"677","1129",7,77.1133333333333
"678","1129",8,74.6
"679","1129",9,66.9166666666667
"680","1129",10,55.8933333333333
"681","1131",1,52.55
"682","1131",2,53.75
"683","1131",3,66.2
"684","1131",4,65
"685","1131",5,70.95
"686","1131",6,78.45
"687","1131",7,82.05
"688","1131",8,81.8
"689","1131",9,76.35
"690","1131",10,70
"691","1133",1,47.45
"692","1133",2,48
"693","1133",3,61
"694","1133",4,59.2
"695","1133",5,67.2
"696","1133",6,76
"697","1133",7,80.05
"698","1133",8,78.85
"699","1133",9,72.8
"700","1133",10,63.4
"701","12001",1,58.8
"702","12001",2,60.1
"703","12001",3,69.4
"704","12001",4,71.3
"705","12001",5,74.9
"706","12001",6,80.5
"707","12001",7,82.6
"708","12001",8,82.5
"709","12001",9,79.7
"710","12001",10,76.2
"711","12003",1,46.9333333333333
"712","12003",2,48.1
"713","12003",3,58.1666666666667
"714","12003",4,60.0333333333333
"715","12003",5,65.8
"716","12003",6,71.6666666666667
"717","12003",7,76.6
"718","12003",8,77
"719","12003",9,72.1666666666667
"720","12003",10,65.0666666666667
"721","12005",1,44.05
"722","12005",2,42.25
"723","12005",3,53.75
"724","12005",4,56.25
"725","12005",5,64.95
"726","12005",6,74.65
"727","12005",7,78.9
"728","12005",8,76.9
"729","12005",9,69.55
"730","12005",10,60.45
"731","12007",1,44.4
"732","12007",2,44.65
"733","12007",3,54.3
"734","12007",4,56.15
"735","12007",5,64.5
"736","12007",6,72.2
"737","12007",7,77.7
"738","12007",8,75.9
"739","12007",9,69.6
"740","12007",10,63.2
"741","12009",1,64.1
"742","12009",2,66.5
"743","12009",3,72
"744","12009",4,73.6
"745","12009",5,75.7
"746","12009",6,80.3
"747","12009",7,83
"748","12009",8,83.3
"749","12009",9,81.9
"750","12009",10,78.9
"751","12011",1,68.7
"752","12011",2,70.9
"753","12011",3,74.6
"754","12011",4,79
"755","12011",5,78
"756","12011",6,83
"757","12011",7,83.7
"758","12011",8,84.8
"759","12011",9,82.8
"760","12011",10,80.6
"761","12015",1,53.8
"762","12015",2,55.95
"763","12015",3,62.95
"764","12015",4,65.8
"765","12015",5,69.4
"766","12015",6,77.7
"767","12015",7,82.35
"768","12015",8,80.75
"769","12015",9,74.65
"770","12015",10,70.5
"771","12017",1,60.5
"772","12017",2,62.8
"773","12017",3,70.5
"774","12017",4,73.3
"775","12017",5,75.8
"776","12017",6,81.5
"777","12017",7,83.2
"778","12017",8,83.4
"779","12017",9,81.4
"780","12017",10,77.9
"781","12021",1,67
"782","12021",2,69.5
"783","12021",3,73.4
"784","12021",4,77.3
"785","12021",5,76.6
"786","12021",6,82.1
"787","12021",7,83.8
"788","12021",8,84.5
"789","12021",9,82.1
"790","12021",10,80.4
"791","12027",1,54.95
"792","12027",2,56.45
"793","12027",3,65
"794","12027",4,67.25
"795","12027",5,72.6
"796","12027",6,79.7
"797","12027",7,83
"798","12027",8,81.3
"799","12027",9,77.35
"800","12027",10,70.45
"801","12029",1,57.8
"802","12029",2,58.7
"803","12029",3,68
"804","12029",4,70.2
"805","12029",5,74.4
"806","12029",6,80.4
"807","12029",7,82.6
"808","12029",8,82.6
"809","12029",9,79.8
"810","12029",10,75.9
"811","12031",1,60.7
"812","12031",2,59.65
"813","12031",3,71.7
"814","12031",4,71.8
"815","12031",5,77.3
"816","12031",6,80.65
"817","12031",7,84.4
"818","12031",8,83.85
"819","12031",9,79.5
"820","12031",10,74.55
"821","12035",1,61.9
"822","12035",2,63.5
"823","12035",3,71.5
"824","12035",4,72.9
"825","12035",5,75.6
"826","12035",6,80.7
"827","12035",7,83.3
"828","12035",8,82.8
"829","12035",9,80.7
"830","12035",10,77.8
"831","12039",1,56.4
"832","12039",2,56.6
"833","12039",3,68.6
"834","12039",4,68.3
"835","12039",5,73.8
"836","12039",6,79.1
"837","12039",7,82
"838","12039",8,81.4
"839","12039",9,77.4
"840","12039",10,73.1
"841","12041",1,57.7
"842","12041",2,58.6
"843","12041",3,68.1
"844","12041",4,70.1
"845","12041",5,74.2
"846","12041",6,80.1
"847","12041",7,82.3
"848","12041",8,82.3
"849","12041",9,79.4
"850","12041",10,75.6
"851","12043",1,65
"852","12043",2,68.1
"853","12043",3,71.8
"854","12043",4,76
"855","12043",5,76.8
"856","12043",6,81.7
"857","12043",7,83.3
"858","12043",8,83.8
"859","12043",9,81.6
"860","12043",10,79.4
"861","12045",1,58.6
"862","12045",2,58.8
"863","12045",3,69.7
"864","12045",4,69.4
"865","12045",5,74
"866","12045",6,80.7
"867","12045",7,82
"868","12045",8,82.1
"869","12045",9,78.6
"870","12045",10,74.1
"871","12047",1,36.56
"872","12047",2,36.45
"873","12047",3,48.99
"874","12047",4,52.59
"875","12047",5,62.45
"876","12047",6,73.86
"877","12047",7,77.94
"878","12047",8,75.1
"879","12047",9,67.03
"880","12047",10,55.73
"881","12049",1,63.8
"882","12049",2,66.8
"883","12049",3,71.7
"884","12049",4,74.9
"885","12049",5,76.4
"886","12049",6,81.8
"887","12049",7,83.3
"888","12049",8,83.6
