"","countyfp","facemask_never","facemask_rarely","facemask_sometimes","facemask_frequently","facemask_always","fips"
"272","08053",0.043,0.05,0.117,0.271,0.519,8053
"273","08055",0.028,0.051,0.051,0.275,0.595,8055
"274","08057",0.021,0.027,0.09,0.342,0.52,8057
"275","08059",0.028,0.031,0.075,0.194,0.673,8059
"276","08061",0.028,0.051,0.159,0.27,0.492,8061
"277","08063",0.024,0.323,0.119,0.344,0.19,8063
"278","08065",0.002,0.016,0.036,0.193,0.753,8065
"279","08067",0.043,0.02,0.122,0.274,0.541,8067
"280","08069",0.013,0.037,0.06,0.231,0.659,8069
"281","08071",0.052,0.03,0.101,0.17,0.648,8071
"282","08073",0.013,0.068,0.196,0.403,0.321,8073
"283","08075",0.078,0.202,0.101,0.368,0.251,8075
"284","08077",0.075,0.105,0.098,0.222,0.499,8077
"285","08079",0.049,0.072,0.138,0.264,0.478,8079
"286","08081",0.041,0.142,0.162,0.284,0.371,8081
"287","08083",0.057,0.019,0.081,0.257,0.586,8083
"288","08085",0.085,0.092,0.074,0.314,0.436,8085
"289","08087",0.083,0.161,0.116,0.245,0.396,8087
"290","08089",0.004,0.047,0.102,0.194,0.653,8089
"291","08091",0.06,0.08,0.069,0.295,0.495,8091
"292","08093",0.021,0.018,0.103,0.137,0.722,8093
"293","08095",0.05,0.19,0.137,0.255,0.368,8095
"294","08097",0.019,0.014,0.016,0.318,0.633,8097
"295","08099",0.079,0.046,0.205,0.201,0.469,8099
"296","08101",0.018,0.044,0.074,0.28,0.584,8101
"297","08103",0.111,0.092,0.074,0.265,0.458,8103
"298","08105",0.061,0.144,0.11,0.242,0.444,8105
"299","08107",0.008,0.036,0.092,0.375,0.489,8107
"300","08109",0.065,0.122,0.138,0.232,0.443,8109
"301","08111",0.032,0.038,0.097,0.27,0.563,8111
"302","08113",0.043,0.058,0.074,0.26,0.565,8113
"303","08115",0.065,0.162,0.138,0.267,0.368,8115
"304","08117",0,0.001,0.064,0.151,0.784,8117
"305","08119",0.105,0.087,0.066,0.145,0.597,8119
"306","08121",0.077,0.208,0.101,0.303,0.31,8121
"307","08123",0.046,0.038,0.135,0.231,0.55,8123
"308","08125",0.038,0.284,0.133,0.255,0.29,8125
"309","09001",0.027,0.019,0.06,0.114,0.78,9001
"310","09003",0.015,0.023,0.065,0.13,0.767,9003
"311","09005",0.017,0.051,0.021,0.098,0.812,9005
"312","09007",0.003,0.007,0.055,0.128,0.807,9007
"313","09009",0.023,0.014,0.053,0.115,0.795,9009
"314","09011",0.025,0.021,0.066,0.142,0.747,9011
"315","09013",0.008,0.008,0.027,0.147,0.81,9013
"316","09015",0.022,0.041,0.082,0.137,0.718,9015
"317","10001",0.026,0.006,0.106,0.051,0.811,10001
"318","10003",0.027,0.013,0.041,0.133,0.786,10003
"319","10005",0.005,0.001,0.035,0.103,0.856,10005
"320","11001",0.012,0.013,0.069,0.164,0.743,11001
"321","12001",0.001,0.024,0.053,0.17,0.751,12001
"322","12003",0.087,0.076,0.18,0.215,0.442,12003
"323","12005",0.065,0.109,0.076,0.202,0.548,12005
"324","12007",0.106,0.168,0.172,0.173,0.381,12007
"325","12009",0.068,0.073,0.096,0.157,0.607,12009
"326","12011",0.026,0.023,0.043,0.117,0.791,12011
"327","12013",0.034,0.055,0.138,0.267,0.507,12013
"328","12015",0.051,0.049,0.101,0.158,0.64,12015
"329","12017",0.09,0.036,0.087,0.178,0.609,12017
"330","12019",0.055,0.067,0.15,0.209,0.52,12019
"331","12021",0.04,0.023,0.067,0.212,0.658,12021
"332","12023",0.047,0.026,0.288,0.254,0.385,12023
