,Date,Predicted_Cumulative_NPF,Predicted_Cumulative_NPNF,Predicted_Cumulative_PF,Predicted_Cumulative_PNF
166,2020-9-13,423095.2341,1091794.307,1329.370454,1568.426895
167,2020-9-14,443611.7289,1163472.439,1355.927669,1605.946022
168,2020-9-15,464125.7119,1238148.593,1381.984339,1643.738775
169,2020-9-16,485493.1897,1317482.308,1408.36966,1682.385266
170,2020-9-17,507702.979,1401599.986,1434.920811,1721.795983
171,2020-9-18,530853.2213,1491083.535,1461.816583,1762.129915
172,2020-9-19,554959.6686,1586151.649,1488.873584,1803.206835
173,2020-9-20,580070.6096,1687239.292,1516.208274,1845.111256
174,2020-9-21,606400.3195,1794754.188,1544.257831,1887.989487
175,2020-9-22,633829.4351,1908926.629,1572.6282,1931.831387
176,2020-9-23,662490.8828,2030350.203,1601.511895,1976.69136
177,2020-9-24,692477.9611,2159568.766,1631.025112,2022.628136
178,2020-9-25,723820.0591,2297005.903,1661.08221,2069.632447
179,2020-9-26,756579.5091,2443188.176,1691.69321,2117.729102
180,2020-9-27,790776.1941,2598548.184,1722.86832,2166.943486
181,2020-9-28,826513.1915,2763783.744,1754.617936,2217.301575
182,2020-9-29,863858.6281,2939479.321,1786.952645,2268.829946
183,2020-9-30,902886.903,3126328.575,1819.883229,2321.555796
